"Year","Week","Influenza","ADV","PIV","RSV","MPV"
2016,30,0,7.2,8.6,0,0.5
2016,31,0,7,8.1,0.6,0
2016,32,0,5.6,12.4,0.6,1.2
2016,33,0.5,4.8,9.6,0.5,1.6
2016,34,0,11.4,12.9,0,1.4
2016,35,0.6,16.1,6.1,0,0.6
2016,36,0,13.1,10.4,1.8,1.8
2016,37,0.5,10.5,11,4,0.5
2016,38,0,9.4,7.1,0.8,1.6
2016,39,0.5,5.3,6.2,0.5,0
2016,40,0,7.8,4.4,1.5,0.5
2016,41,0,10.2,5.1,2.9,0
2016,42,0.5,5.5,3.8,8.8,0.5
2016,43,0.5,5.8,4.7,10.5,1.1
2016,44,0,3.2,4.9,8.6,0
2016,45,0.5,6.1,4.1,16.2,0
2016,46,0.5,8.5,1.9,16.4,0.5
2016,47,0,4.8,0.5,19.1,2.4
2016,48,2.2,3.9,1.3,19.6,1.3
2016,49,7.5,3.9,2.2,28.5,1.3
2016,50,24.2,3.9,1.3,16,1.3
2016,51,44.2,2.5,0,11.6,0.8
2016,52,54.4,3.3,0,4.8,0.4
2016,53,46.8,2.6,0.4,4.2,1.9
2017,1,43.2,3.1,0,6.2,4
2017,2,32.6,3.1,0.4,5.7,4
2017,3,23.9,3.9,2.3,5.4,4.6
2017,4,19.7,6.3,1.3,4.2,4.2
2017,5,11.3,2.2,3.9,4.3,7
2017,6,7.7,2.7,3.4,5.7,5.7
2017,7,9.9,1.7,0.9,3.9,8.6
2017,8,6.6,2.3,1.2,2.3,15.5
2017,9,6.3,3.4,1.3,3.4,14.7
2017,10,3.9,3.4,2.1,3,16.3
2017,11,6.9,1.7,3.5,3.1,14.2
2017,12,9.6,1.7,2.4,2.7,19.6
2017,13,15.4,2.9,3.9,1.3,15.4
2017,14,15.1,3.8,3.1,1,19.6
2017,15,13.2,3.4,8.9,0.6,20.3
2017,16,16,2.5,6.4,0.4,14.5
2017,17,11.6,3,11.6,0.7,8.6
2017,18,7.7,1,11.9,0.5,7.7
2017,19,10.9,8.6,18.4,0,6.3
2017,20,6,4.8,18.4,0,6
2017,21,1.2,3.9,23.6,0,2.4
2017,22,2,6.9,17.3,0.4,4.5
2017,23,1.7,6.1,13.3,0,0.6
2017,24,3.8,4.3,15.1,0.9,0.5
2017,25,2.3,5,13.4,0,0.9
2017,26,1,3.5,9.5,0,0.5
2017,27,1,4.7,9.4,0,0.5
2017,28,0.5,5,11,1,0
2017,29,2.2,1.6,8.7,0.5,1.1
2017,30,1.1,2.1,6.8,0.5,0.5
2017,31,0.7,1.4,12.5,0,0.7
2017,32,0.6,5.2,12.3,0,0
2017,33,0,4.2,5.9,0.8,0
2017,34,1.2,6.4,7,1.7,0
2017,35,0.4,4.9,10.6,0.9,0.4
2017,36,0,3.3,5.3,2.9,0
2017,37,0.5,8.3,2.8,2.8,0
2017,38,1.4,1.9,4.3,1.9,0
2017,39,0.9,3.8,6.1,5.7,0
2017,40,0,0,0,0,0
2017,41,0.7,6.3,3.5,2.8,0.5
2017,42,0.9,4.1,3.2,6.9,0.5
2017,43,0.4,4.2,3.3,7.1,1.7
2017,44,1.3,4.3,5.2,9.4,0.9
2017,45,0.8,5,5,14.9,0
2017,46,1.2,4.1,3.7,13.7,0.4
2017,47,3.4,3.8,2.6,20.8,0.8
2017,48,10.8,6,2,19.6,1.2
2017,49,16.7,4.4,4.8,17.3,0
2017,50,35.1,2.7,3.3,11.4,0
2017,51,47.6,1.2,1.2,8.9,0
2017,52,66.8,2.1,1.4,5.3,1.1
2018,1,67.7,3.2,0,8.2,0
2018,2,57.3,2.1,0.6,4.5,0.6
2018,3,64.2,2.2,1.6,2.2,1
2018,4,53.8,2.3,1,4.3,1.3
2018,5,49.5,5.1,1,3.7,1.4
2018,6,41.8,2.7,1.7,2.4,1.7
2018,7,43.3,1.7,1.3,5.2,3
2018,8,30.7,2.8,1.4,4.1,3.1
2018,9,26.7,4,2,5.3,4
2018,10,15.3,6.9,2.3,3.2,6.9
2018,11,11.6,4.4,2.4,4,7.6
2018,12,7.8,2,3.1,5.9,10.2
2018,13,7.5,3.7,5.2,1.5,9.7
2018,14,5.1,5.1,7,1.2,19.1
2018,15,2.7,3.8,7.2,0.8,15.9
2018,16,2.7,7,8.2,0.4,23.3
2018,17,4.2,5.7,10.3,0.8,17.6
2018,18,2.6,5.3,14.5,0,19.7
2018,19,2.5,4.4,13.8,1,20.2
2018,20,2.8,4,18.7,0,13.1
2018,21,2.1,6.7,24.2,0.5,15.5
2018,22,3.8,6.7,19.7,0.5,12.5
2018,23,0.9,4.4,18.4,0,11.4
2018,24,1.8,8.4,14.4,0.6,6
2018,25,1.6,9.9,18.8,0.5,3.1
2018,26,0,4.5,15.5,0.5,3.5
2018,27,0.6,5.2,12.6,1.1,5.2
2018,28,0,5.2,13.1,0,3.7
2018,29,1.2,6,13.3,1.8,1.8
2018,30,0.7,6.8,7.4,0,1.4
2018,31,0,5.9,9.2,0.7,2
2018,32,0.7,5.7,9.2,0,0
2018,33,0,10.8,6.3,0.9,0.9
2018,34,0.5,9.7,7.5,1.6,1.1
2018,35,0,12,8,1.7,0
2018,36,0.5,19.2,4.5,1.5,1
2018,37,0.4,14.2,10,3.8,0.4
2018,38,1.4,11.2,2.8,0.9,0.5
2018,39,0,8.7,0,0,0
2018,40,0,11.7,5.6,1.9,0
2018,41,0.7,12.5,4.2,2.8,0
2018,42,0.9,10.3,3.6,2.7,0
2018,43,2.7,1.3,4.1,8.5,0
2018,44,4.6,11.7,2.5,6.7,0.4
2018,45,4.2,12.6,3.1,8,0
2018,46,9.6,10.7,2.1,12.5,0
2018,47,10.2,9.5,1.8,16.1,0
2018,48,20.4,10,0,19.3,0.7
2018,49,21.4,11.4,2.3,14.6,0
2018,50,30.9,6.9,0.3,12.4,0.3
2018,51,45.7,6.3,0,9.4,0.3
2018,52,43.5,6,1.5,8.2,0
2019,1,43.6,9.1,1.2,7,0
2019,2,33.7,5.6,2.1,6.3,0.7
2019,3,29.7,3.9,0.7,6,0.4
2019,4,19.8,11.3,0.4,4.3,1.6
2019,5,14.2,3.5,0.9,8.4,0.4
2019,6,11.5,0,0,0,0
2019,7,6.3,9.5,0.9,8.1,2.7
2019,8,11,6.6,1.8,3.9,2.2
2019,9,7.7,4.1,1.8,3.2,1.8
2019,10,10.6,6.5,2.3,3.2,7.8
2019,11,20.8,4.9,1.2,1.2,4.1
2019,12,22.6,2.9,3.3,1.1,6.2
2019,13,29.2,5.1,2.5,1.1,8.3
2019,14,34,2.8,1,1,9
2019,15,44.1,3.7,1.2,0.9,8.3
2019,16,34.9,6.6,3.8,0.6,7.2
2019,17,26.4,4.6,7.9,0.3,13.9
2019,18,17.4,5.2,8.4,1,20.2
2019,19,10.8,10.8,11.3,0,21.5
2019,20,10.5,8.1,12.9,0.8,16.1
2019,21,7.4,7,15.2,0,11.9
2019,22,6.5,8.1,20,0.4,15.8
2019,23,2.2,11.6,21.9,0.4,12.9
2019,24,3,10,17.4,0,7
2019,25,2.1,9.9,20.3,0,7.8
2019,26,1.1,10.1,21.8,0,7.8
2019,27,1,8.5,19.1,0.5,5.5
2019,28,0.5,8.5,15.4,0,4.8
2019,29,0.5,8.1,14.7,0,4.6
2019,30,0,7.7,14.8,0,3.8
2019,31,0,4.3,14.7,0,2.5
2019,32,0,11,17.8,0,2.5
2019,33,0.8,11.9,6.3,1.6,4.8
2019,34,0.6,16.9,9.3,0.6,1.7
2019,35,0,11.7,5.3,1.2,2.9
2019,36,1.1,11.7,8.3,1.1,1.1
2019,37,0,11.2,6.8,1.9,4.3
2019,38,0,8.4,7.9,2.3,0.9
2019,39,1.4,9.5,7.3,1.4,1.4
2019,40,1.4,11.5,5.3,1,1.9
2019,41,3.2,9.1,5.9,3.2,1.4
2019,42,3.4,6.9,4.7,3.9,2.2
2019,43,3.8,10.1,2.5,5.5,0.4
2019,44,5.4,9.6,1.5,5,0
2019,45,6.9,10.7,2.3,9.6,0.4
2019,46,7.8,15.6,8.5,18.4,2.1
2019,47,24.1,17.2,1.7,16.7,0
2019,48,24.7,16.1,4,18.4,2.3
2019,49,18.6,11.9,1.6,9.7,0.6
2019,50,16.2,9.1,1.6,15.3,1.3
2019,51,25.9,7.8,2.5,11.2,2.5
2019,52,35.1,6.5,0.9,10.7,2.1
2020,1,43.4,4.8,1.7,9.3,1.4
2020,2,40.6,8,0.6,10.5,2.5
2020,3,37.6,8.6,1,7.6,3.5
2020,4,43.4,5.7,1.6,6.6,1.9
2020,5,40.9,4,0.8,5.7,4
2020,6,16.7,4.6,0.8,7.5,2.9
2020,7,15.8,7.2,0.9,6.8,5.4
2020,8,3.9,7.8,0.5,0,4.9
2020,9,1.4,7.9,0,5,5
2020,10,1,2.9,0,2.9,2.9
2020,11,0,4.9,0,3.7,1.2
2020,12,0,5.4,1.4,1.4,1.4
2020,13,0,7,0,1.4,0
2020,14,0,12.5,0,0,0
2020,15,0,3.4,0,0,0
2020,16,0,7.9,0,0,0
2020,17,0,8.7,0,0,0
2020,18,0,1.7,0,1.7,0
2020,19,0,6.7,0,0,0
2020,20,0,5.4,0,0,0
2020,21,0,10.3,0,0,0
2020,22,0,10.6,0,0,0
2020,23,0,6.9,0,0,0
2020,24,0,3.6,1.2,0,0
2020,25,0,10.3,0,0,0
2020,26,0,6.8,0,0,1.1
2020,27,0,7.8,0,0,0
2020,28,0,4.8,0,0,0
2020,29,1.4,1.4,0,0,0
2020,30,1.3,6.3,0,0,0
2020,31,0,13,0,0,0
2020,32,0,3.1,0,1.5,0
2020,33,0,4.1,0,0,0
2020,34,0,8.9,0,0,0
2020,35,0,2.8,0,1.4,0
2020,36,0,6.7,0,0,0
2020,37,0,3.5,0,0,0
2020,38,0,10.6,0,1.2,0
2020,39,0,2.6,0,0,0
2020,40,0,7.5,0,0,0
2020,41,0,1.5,0,0,0
2020,42,0,7.6,0,0,0
2020,43,0,7,0,0,0
2020,44,0,3.8,0,0,0
2020,45,0,4.6,0,0,0
2020,46,0,4.3,0,0,0
2020,47,0,4.4,0,0,0
2020,48,0,6.3,0,0,0
2020,49,0,6.3,0,0,0
2020,50,0,12.7,0,0,0
2020,51,0,10,0,0,0
2020,52,0,13.8,0,0,0
2021,1,0,8.3,0,0,0
2021,2,0,11.6,0,0,0
2021,3,0,9.4,0,0,0
2021,4,0,3.1,0,0,0
2021,5,0,1.4,0,1.4,0
2021,6,0,6.9,0,0,0
2021,7,0,10.3,0,0,0
2021,8,0,5.3,0,0,0
2021,9,0,12.5,0,0,0
2021,10,0,7.8,0,0,0
2021,11,0,4.9,0,0,0
2021,12,0,7.1,0,0,0
2021,13,0,2.8,0,0,0
2021,14,0,4.6,0,0,0
2021,15,0,6.6,0,0,0
2021,16,0,6.6,0,0,0
2021,17,0,8.6,0,0,0
2021,18,0,7.5,0,0,0
2021,19,0,9,0,0,0
2021,20,0,4.3,0,0,0
2021,21,0,13.5,0,0,0
2021,22,0,5.3,0,0,0
2021,23,0,16.8,0,0,0
2021,24,0,9.9,0,0,0
2021,25,0,26.4,0,0,0
2021,26,0,9.1,0,0,0
2021,27,0,14.7,0,0,0
2021,28,0,9,0,0,0
2021,29,0,8.2,0,0,0
2021,30,0,5.6,0,0,0
2021,31,0,5.4,0,0,0
2021,32,0,13,0,0,0
2021,33,0,2.1,0,0,0
2021,34,0,7.3,4.9,0,0
2021,35,0,14.8,0,0,0
2021,36,0,23.2,8.9,0,0
2021,37,0,13.9,26.4,0,0
2021,38,0,5.6,33.7,0,0
2021,39,0,10,50,0,0
2021,40,0,5.2,20.7,0,0
2021,41,0,2.6,44.7,0,0
2021,42,0,5,50.5,0,0
2021,43,0,1.7,62.5,0.8,0
2021,44,0,2.6,57.8,0,0
2021,45,0,3.7,60.1,0.6,0
2021,46,0,2,46.3,0,0
2021,47,0,0.6,31.9,1.3,0
2021,48,0,1.5,21.1,1.5,0
2021,49,0,2.5,14.2,0.8,0
2021,50,0,5.5,3.6,11.8,0
2021,51,0,3,5.1,16.2,0
2021,52,0,5.7,1.6,39.8,0
2022,1,0,2.1,1.4,50,0
2022,2,0,6.7,0,53,0
2022,3,0,6.7,0,60.7,0
2022,4,0,4,2,58,0
2022,5,0,1.7,0.6,65.2,0
2022,6,0,0,0,42.1,0
2022,7,0,0,0,48.8,0
2022,8,0,9.1,0,31.3,0
2022,9,0,3,0,25.7,0
2022,10,0,5,0,25,0
2022,11,0,0,0,7.6,0
2022,12,0,2,0,2,0
2022,13,0,6.8,0,0,0
2022,14,0,3.4,0,6.8,0
2022,15,0,1.5,0,0,0
2022,16,0,3.4,0,1.1,0
2022,17,0,2.5,0,3.8,0
2022,18,1.2,8.3,0,3.6,0
2022,19,0,4.8,0,1,0
2022,20,0,3.9,0,0,0
2022,21,0,4.1,0,0.8,0
2022,22,0,8.6,0,1.6,0
2022,23,0,5.1,0,0,0
2022,24,0,7.4,0,0,0
2022,25,0,6.8,0,0,0
2022,26,0,3.5,0,0,0
2022,27,0,2.7,0,0,0
2022,28,2.8,1.7,0,1.1,0.6
2022,29,2.3,4.6,0,0.5,0.5
2022,30,3.6,3.1,0.5,2.1,0
2022,31,1.3,6.3,0,4.4,2.5
2022,32,3.9,3.9,0,1.6,3.1
2022,33,3,3.7,0,3,3
2022,34,0.9,5.1,0.9,9.4,6.8
2022,35,4.2,4.2,0,4.2,6.6
2022,36,1.9,38.8,0,13.1,14.1
2022,37,1.4,5.6,0.5,16.7,20.9
2022,38,1.3,3.9,1.3,15.7,24.8
2022,39,1.7,5,0,15.1,36
2022,40,0.8,2.6,1.5,18.5,34.7
2022,41,1,4.4,3.4,14.3,38.4
2022,42,1,2.9,2.9,11.2,39
2022,43,1.4,3.6,3.6,12.8,29.2
2022,44,2.2,2.9,5.1,9.5,28.6
2022,45,6.4,4.7,6.1,5.7,20.3
2022,46,5.9,2.2,7.8,6.3,13
2022,47,10.1,3.7,11.7,6.4,11.1
2022,48,7.4,5.2,19.6,2.6,6.3
2022,49,8.3,5.1,23.7,3.5,4.8
2022,50,9.8,4.8,23.2,3.3,3
2022,51,23.4,4.7,22.6,4.2,4.5
2022,52,31.2,5.2,13.4,2.9,1.7
2022,53,30.3,4.4,13.6,1.4,0.3
2023,1,29.4,4.7,8.1,2.7,1.4
2023,2,20.6,5.2,8.6,2.1,1.8
2023,3,14.2,7.5,10.2,5.5,2.4
2023,4,11.5,8.7,5.8,9.6,1
2023,5,9,7,9.4,11.3,2.3
2023,6,10.8,6,6,6,2
2023,7,6.9,10.4,6.9,9.2,3.8
2023,8,5,9.9,6.7,10.6,3.2
2023,9,5.4,8.2,11.7,14,5.1
2023,10,4.1,7.9,12.8,10,1.4
2023,11,1.5,6.4,9.8,12.8,2.8
2023,12,4.9,8.4,8.9,10.4,3.7
2023,13,5.2,8.5,9,11,3.6
2023,14,5.4,9,10,13.3,4.1
2023,15,4.4,8.1,10,14.1,3.4
2023,16,8.8,11.6,10.8,9,3.9
2023,17,8.4,13.2,14,9.3,7
2023,18,12.9,12.9,8.5,74.4,6.3
2023,19,11.8,7.3,9.4,5.9,6.3
2023,20,15.6,11.3,6.1,9.8,8.9
2023,21,14.4,8.6,7.2,5.5,11.6
2023,22,15.2,7,5.7,7.4,14.8
2023,23,8.4,15,7.5,12.6,15
2023,24,10,8.9,5.7,5.7,13.9
2023,25,5.5,9.1,7.1,3.1,15.4
2023,26,5.7,12.7,8.1,4.6,14.1
2023,27,5.2,19.5,12.1,2.6,16
2023,28,6.3,15.9,11.1,0.9,10.5
2023,29,8,13.7,17.1,3.1,9.4
2023,30,10.6,21.2,12.4,2.4,10
2023,31,6.9,24.1,16.5,3.8,7.3
2023,32,6,28.5,6.4,3,1.9
2023,33,2.4,42.4,8.5,3.6,4.8
2023,34,2.1,40.1,4.9,2.1,1.2
2023,35,4.2,37,2.4,4.8,2.4
2023,36,5.1,38.6,2.1,3.3,1.2
2023,37,4.2,37,2.4,4.8,2.4
2023,38,5.1,38.6,2.1,3.3,1.2
2023,39,4.3,38,2.2,1.5,1.9
2023,40,13,31.1,1.4,3.2,2.6
