"Date","Number_of_new_cases"
2021-09-02,1925
2021-09-03,1674
2021-09-04,1775
2021-09-05,1461
2021-09-06,1351
2021-09-07,1563
2021-09-08,2012
2021-09-09,2018
2021-09-10,1857
2021-09-11,1815
2021-09-12,1725
2021-09-13,1409
2021-09-14,1461
2021-09-15,2054
2021-09-16,1920
2021-09-17,1972
2021-09-18,2047
2021-09-19,1870
2021-09-20,1575
2021-09-21,1697
2021-09-22,1703
2021-09-23,1697
2021-09-24,2411
2021-09-25,3240
2021-09-26,2734
2021-09-27,2354
2021-09-28,2268
2021-09-29,2855
2021-09-30,2536
2021-10-01,2449
2021-10-02,2220
2021-10-03,2056
2021-10-04,1650
2021-10-05,1555
2021-10-06,2001
2021-10-07,2398
2021-10-08,2140
2021-10-09,1924
2021-10-10,1560
2021-10-11,1284
2021-10-12,1333
2021-10-13,1569
2021-10-14,1923
2021-10-15,1669
2021-10-16,1592
2021-10-17,1403
2021-10-18,1030
2021-10-19,1048
2021-10-20,1556
2021-10-21,1430
2021-10-22,1417
2021-10-23,1487
2021-10-24,1394
2021-10-25,1167
2021-10-26,1245
2021-10-27,1931
2021-10-28,2094
2021-10-29,2092
2021-10-30,2087
2021-10-31,2052
2021-11-01,1664
2021-11-02,1578
2021-11-03,2638
2021-11-04,2457
2021-11-05,2322
2021-11-06,2217
2021-11-07,2204
2021-11-08,1731
2021-11-09,1698
2021-11-10,2408
2021-11-11,2493
2021-11-12,2358
2021-11-13,2310
2021-11-14,2399
2021-11-15,1983
2021-11-16,2109
2021-11-17,3161
2021-11-18,3272
2021-11-19,3010
2021-11-20,3186
2021-11-21,3095
2021-11-22,2806
2021-11-23,2683
2021-11-24,4087
2021-11-25,3916
2021-11-26,3877
2021-11-27,4044
2021-11-28,3890
2021-11-29,3284
2021-11-30,3003
2021-12-01,5072
2021-12-02,5238
2021-12-03,4922
2021-12-04,5327
2021-12-05,5101
2021-12-06,4295
2021-12-07,4922
2021-12-08,7139
2021-12-09,7081
2021-12-10,6981
2021-12-11,6946
2021-12-12,6655
2021-12-13,5781
2021-12-14,5523
2021-12-15,7825
2021-12-16,7587
2021-12-17,7398
2021-12-18,7280
2021-12-19,6169
2021-12-20,5255
2021-12-21,5136
2021-12-22,7363
2021-12-23,6853
2021-12-24,6162
2021-12-25,5764
2021-12-26,5335
2021-12-27,4121
2021-12-28,3776
2021-12-29,5279
2021-12-30,4929
2021-12-31,4755
2022-01-01,4309
2022-01-02,3680
2022-01-03,2989
2022-01-04,2887
2022-01-05,4231
2022-01-06,3928
2022-01-07,3526
2022-01-08,3293
2022-01-09,3136
2022-01-10,2766
2022-01-11,2810
2022-01-12,4005
2022-01-13,3775
2022-01-14,4131
2022-01-15,4073
2022-01-16,3811
2022-01-17,3549
2022-01-18,3761
2022-01-19,5430
2022-01-20,6355
2022-01-21,6478
2022-01-22,6725
2022-01-23,7340
2022-01-24,7157
2022-01-25,8354
2022-01-26,12734
2022-01-27,14297
2022-01-28,15887
2022-01-29,17315
2022-01-30,17295
2022-01-31,16841
2022-02-01,18113
2022-02-02,20103
2022-02-03,22702
2022-02-04,27276
2022-02-05,36137
2022-02-06,38492
2022-02-07,35120
2022-02-08,36608
2022-02-09,49371
2022-02-10,54027
2022-02-11,53773
2022-02-12,54820
2022-02-13,56268
2022-02-14,54448
2022-02-15,56994
2022-02-16,90270
2022-02-17,93028
2022-02-18,109687
2022-02-19,102052
2022-02-20,104716
2022-02-21,95202
2022-02-22,99423
2022-02-23,171245
2022-02-24,169825
2022-02-25,165739
2022-02-26,166045
2022-02-27,163397
2022-02-28,139458
2022-03-01,138919
2022-03-02,219145
2022-03-03,198738
2022-03-04,266756
2022-03-05,254238
2022-03-06,243520
2022-03-07,210602
2022-03-08,202616
2022-03-09,342358
2022-03-10,327457
2022-03-11,282858
2022-03-12,383558
2022-03-13,350115
2022-03-14,309700
2022-03-15,362194
2022-03-16,400443
2022-03-17,621066
2022-03-18,406784
2022-03-19,381297
2022-03-20,334560
2022-03-21,209071
2022-03-22,353827
2022-03-23,490702
2022-03-24,395446
2022-03-25,339421
2022-03-26,335458
2022-03-27,318006
2022-03-28,187134
2022-03-29,347423
2022-03-30,424521
2022-03-31,320655
2022-04-01,280179
2022-04-02,264077
2022-04-03,234224
2022-04-04,127141
2022-04-05,266055
2022-04-06,286232
2022-04-07,224739
2022-04-08,205270
2022-04-09,185485
2022-04-10,164419
2022-04-11,90882
2022-04-12,210675
2022-04-13,195343
2022-04-14,148385
2022-04-15,125803
2022-04-16,107860
2022-04-17,92948
2022-04-18,47710
2022-04-19,118443
2022-04-20,111274
2022-04-21,90811
2022-04-22,81022
2022-04-23,75385
2022-04-24,64655
2022-04-25,34322
2022-04-26,80313
2022-04-27,76720
2022-04-28,57427
2022-04-29,50523
2022-04-30,43255
2022-05-01,37720
2022-05-02,20044
2022-05-03,51071
2022-05-04,49016
2022-05-05,42257
2022-05-06,26671
2022-05-07,39563
2022-05-08,40030
2022-05-09,20569
2022-05-10,49896
2022-05-11,43871
2022-05-12,35879
2022-05-13,32423
2022-05-14,29550
2022-05-15,25397
2022-05-16,13261
2022-05-17,35078
2022-05-18,31303
2022-05-19,28108
2022-05-20,25097
2022-05-21,23442
2022-05-22,19262
2022-05-23,9953
2022-05-24,26295
2022-05-25,23924
2022-05-26,18772
2022-05-27,16528
2022-05-28,14348
2022-05-29,12620
2022-05-30,6086
2022-05-31,17139
2022-06-01,15740
2022-06-02,9853
2022-06-03,12499
2022-06-04,11992
2022-06-05,9781
2022-06-06,4998
2022-06-07,6135
2022-06-08,13291
2022-06-09,12083
2022-06-10,9258
2022-06-11,8372
2022-06-12,7295
2022-06-13,3761
2022-06-14,9726
2022-06-15,9322
2022-06-16,7893
2022-06-17,7122
2022-06-18,6744
2022-06-19,5980
2022-06-20,3437
2022-06-21,9226
2022-06-22,8872
2022-06-23,7400
2022-06-24,7105
2022-06-25,6665
2022-06-26,6100
2022-06-27,3308
2022-06-28,9770
2022-06-29,10243
2022-06-30,9442
2022-07-01,9376
2022-07-02,10536
2022-07-03,9850
2022-07-04,6080
2022-07-05,17961
2022-07-06,19126
2022-07-07,18296
2022-07-08,19106
2022-07-09,20040
2022-07-10,20136
2022-07-11,12500
2022-07-12,37081
2022-07-13,39856
2022-07-14,38831
2022-07-15,38596
2022-07-16,41015
2022-07-17,40018
2022-07-18,25957
2022-07-19,73190
2022-07-20,75930
2022-07-21,70816
2022-07-22,68269
2022-07-23,68227
2022-07-24,65047
2022-07-25,35512
2022-07-26,98859
2022-07-27,99687
2022-07-28,87918
2022-07-29,84840
2022-07-30,81540
2022-07-31,73206
2022-08-01,44192
2022-08-02,111179
2022-08-03,119273
2022-08-04,107416
2022-08-05,112339
2022-08-06,110051
2022-08-07,104975
2022-08-08,54768
2022-08-09,149267
2022-08-10,151113
2022-08-11,136654
2022-08-12,128195
2022-08-13,124070
2022-08-14,119073
2022-08-15,61654
2022-08-16,83632
2022-08-17,180179
2022-08-18,177872
2022-08-19,138303
2022-08-20,128861
2022-08-21,110508
2022-08-22,58612
2022-08-23,149705
2022-08-24,138835
2022-08-25,112975
2022-08-26,100755
2022-08-27,95172
2022-08-28,84866
2022-08-29,42753
2022-08-30,115227
2022-08-31,103454
2022-09-01,81256
2022-09-02,89229
2022-09-03,79386
2022-09-04,71874
2022-09-05,37244
2022-09-06,99535
2022-09-07,85169
2022-09-08,72401
2022-09-09,69116
2022-09-10,42460
2022-09-11,27966
2022-09-12,36715
2022-09-13,57009
2022-09-14,93636
2022-09-15,71097
2022-09-16,51505
2022-09-17,43153
2022-09-18,34499
2022-09-19,19103
2022-09-20,47574
2022-09-21,40941
2022-09-22,32734
2022-09-23,28790
2022-09-24,29033
2022-09-25,25521
2022-09-26,13936
2022-09-27,39099
2022-09-28,35756
2022-09-29,30611
2022-09-30,28213
2022-10-01,26649
2022-10-02,23334
2022-10-03,12010
2022-10-04,16307
2022-10-05,34655
2022-10-06,28552
2022-10-07,22232
2022-10-08,19361
2022-10-09,17585
2022-10-10,8926
2022-10-11,15370
2022-10-12,30446
2022-10-13,26868
2022-10-14,23512
2022-10-15,22776
2022-10-16,21367
2022-10-17,10943
2022-10-18,33131
2022-10-19,29420
2022-10-20,25322
2022-10-21,24672
2022-10-22,26844
2022-10-23,26168
2022-10-24,14242
2022-10-25,43665
2022-10-26,40736
2022-10-27,34917
2022-10-28,35853
2022-10-29,37254
2022-10-30,34445
2022-10-31,18446
2022-11-01,58291
2022-11-02,54656
2022-11-03,46824
2022-11-04,43384
2022-11-05,40834
2022-11-06,36599
2022-11-07,18605
2022-11-08,62207
2022-11-09,62424
2022-11-10,55297
2022-11-11,54447
2022-11-12,54249
2022-11-13,48389
2022-11-14,23693
2022-11-15,72813
2022-11-16,66500
2022-11-17,55376
2022-11-18,49330
2022-11-19,50514
2022-11-20,45937
2022-11-21,23014
2022-11-22,72775
2022-11-23,70230
2022-11-24,59014
2022-11-25,53645
2022-11-26,52714
2022-11-27,46938
2022-11-28,22260
2022-11-29,71376
2022-11-30,67310
2022-12-01,57017
2022-12-02,52920
2022-12-03,52795
2022-12-04,46478
2022-12-05,23072
2022-12-06,77500
2022-12-07,74633
2022-12-08,65189
2022-12-09,62663
2022-12-10,62661
2022-12-11,54245
2022-12-12,25594
2022-12-13,86770
2022-12-14,84475
2022-12-15,70103
2022-12-16,66857
2022-12-17,66856
2022-12-18,58753
2022-12-19,26527
2022-12-20,87457
2022-12-21,88084
2022-12-22,75651
2022-12-23,68057
2022-12-24,66124
2022-12-25,58347
2022-12-26,25463
2022-12-27,87510
2022-12-28,87437
2022-12-29,71330
2022-12-30,65132
2022-12-31,63029
